Ingrese el valor de n 

 p  | 0.010 0.050 0.100 0.200 0.250 0.300 0.400 0.500 0.600 0.700 0.750 0.800 0.900 0.950 

 0  | 0.904 0.599 0.349 0.107 0.056 0.028 0.006 0.001 0.000 0.000 0.000 0.000 0.000 0.000 
 1  | 0.996 0.914 0.736 0.376 0.244 0.149 0.046 0.011 0.002 0.000 0.000 0.000 0.000 0.000 
 2  | 1.000 0.988 0.930 0.678 0.526 0.383 0.167 0.055 0.012 0.002 0.000 0.000 0.000 0.000 
 3  | 1.000 0.999 0.987 0.879 0.776 0.650 0.382 0.172 0.055 0.011 0.004 0.001 0.000 0.000 
 4  | 1.000 1.000 0.998 0.967 0.922 0.850 0.633 0.377 0.166 0.047 0.020 0.006 0.000 0.000 
 5  | 1.000 1.000 1.000 0.994 0.980 0.953 0.834 0.623 0.367 0.150 0.078 0.033 0.002 0.000 
 6  | 1.000 1.000 1.000 0.999 0.996 0.989 0.945 0.828 0.618 0.350 0.224 0.121 0.013 0.001 
 7  | 1.000 1.000 1.000 1.000 1.000 0.998 0.988 0.945 0.833 0.617 0.474 0.322 0.070 0.012 
 8  | 1.000 1.000 1.000 1.000 1.000 1.000 0.998 0.989 0.954 0.851 0.756 0.624 0.264 0.086 
 9  | 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.999 0.994 0.972 0.944 0.893 0.651 0.401 
 10 | 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 
